depth	min	max	median	wmean
13.5	2063	4980	3693.4	3658.5
126	4435.8	6050.2	5182	5196.3
156.5	5533.4	6719.9	6030.3	6055.7
190	7321.2	8375.4	7864	7870.5
260.5	10104.2	11587.5	10931.6	10920
340.5	11820.4	13005.2	12606.9	12544.8
400.5	12787.5	13635.3	13254.5	13245.6
457	13358	14212	13792.5	13791.9
632	14459.6	15727.9	15170.6	15147.1
1185	18151	19367.4	18628.5	18666.9
1294.5	19126.4	20279.8	19633.6	19655.8
1457	20943.1	22078.7	21540.8	21535.8
1557.5	22052	23187.6	22616	22626.2
1960	26054	27588.6	26810.2	26811.6
2212	29382.3	31942	30626.4	30633.1
2336	31185.4	34030.4	32604	32622.3
2414	32109	35394.1	33835.6	33817.2
2684	35162.6	40111.4	37361.3	37536.3
2908.5	37345.7	43686.3	39991.4	40239.7
