labID,age,error,depth,cc,dR,dSTD
GIF98318,11000,100,152.5,2,400,200
GIF98319,14010,130,221.5,2,400,200
KIA13457,13530,80,221.5,2,400,200
KIA13458,13770,70,239.5,2,400,200
KIA13459,14420,70,257.5,2,400,200
KIA13632,14470,70,266.5,2,400,200
KIA13633,14470,70,275.5,2,400,200
KIA13460,14450,90,278.5,2,400,200
KIA13634,14600,80,281.5,2,400,200
GIF98320,14910,130,290.5,2,400,200
GIF98321,20810,220,488.5,2,400,200
GIF98322,21050,140,512.5,2,400,200
GIF98323,22600,190,572.5,2,400,200
GIF98324,25830,250,722.5,2,400,200
KIA13635,30460,380,821,2,400,200
GIF98325,32890,490,866.5,2,400,200
