labID,age,error,depth,cc,dR,dSTD
Unknown1,1440,190,12.5,2,400,200
Unknown2,1810,80,29.75,2,400,200
Unknown3,3450,100,49.75,2,400,200
Unknown4,4940,240,69.5,2,400,200
Unknown5,5640,140,89.75,2,400,200
Unknown6,7190,140,111,2,400,200
Unknown7,7990,120,129.5,2,400,200
Unknown8,9160,130,140,2,400,200
Unknown9,9760,130,149.5,2,400,200
Unknown10,10790,130,170,2,400,200
Unknown11,10680,140,180,2,400,200
Unknown12,11080,140,189.5,2,400,200
Unknown13,11410,170,200,2,400,200
Unknown14,12160,200,208.5,2,400,200
Unknown15,12660,170,229.5,2,400,200
Unknown16,12860,150,249.5,2,400,200
Unknown17,13100,170,260,2,400,200
Unknown18,13980,190,280,2,400,200
Unknown19,14350,180,299,2,400,200
Unknown20,14890,230,310,2,400,200
Unknown21,14340,170,320,2,400,200
Unknown22,14990,190,329.5,2,400,200
Unknown23,15630,220,360,2,400,200
Unknown24,17510,270,400,2,400,200
Unknown25,21250,280,521,2,400,200
