depth	min	max	median	wmean
152.5	11451.7	13563.7	12327.2	12351.8
221.5	14481.9	15804.7	15294.5	15266.1
221.5	14481.9	15804.7	15294.5	15266.1
239.5	15293.3	16229.1	15795.1	15789.9
257.5	15841.5	16632.2	16242.4	16242.6
266.5	16059.3	16771.2	16425.4	16428.6
275.5	16285.2	16979.3	16620.6	16628.6
278.5	16371.2	17045.1	16697.2	16704.4
281.5	16429.4	17135.2	16777.1	16781.2
290.5	16537	17540.7	16992.5	17007
488.5	23106	24584.5	23911.8	23900.7
512.5	23846.9	25177.9	24454.1	24481.6
572.5	25320.4	26758.6	26027.6	26039.5
722.5	28667.1	30707.2	29507.8	29579.2
821	32186.5	34533.4	33589	33534.9
866.5	33719.6	36252.9	35126.6	35109
